QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20212,04550693,1,0,1,195,D,1,D,02,D,1537,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04551013,1,0,1,160,D,1,D,03,D,965,D,,A,235,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04551583,1,0,1,120,D,1,D,02,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04552523,1,0,1,100,D,1,D,01,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04553083,1,0,1,195,D,1,D,03,D,625,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04553823,1,0,1,195,D,2,D,,A,,A,137,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04553943,1,0,1,120,D,1,D,03,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04555433,1,0,1,195,D,1,D,02,D,650,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04556283,1,0,1,120,D,1,D,02,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04556433,1,0,1,120,D,1,D,04,D,280,D,,A,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04557013,1,0,1,140,D,1,D,04,D,2995,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04557013,2,0,1,195,D,1,D,04,D,2246,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04557033,1,0,1,120,D,1,D,04,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04557843,1,0,2,180,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04559363,1,0,2,120,D,1,D,02,D,292,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04559653,1,0,2,195,D,1,D,02,D,846,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20212,04559923,1,0,1,140,D,1,D,02,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
