QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX,CHCKEFT,CHCKEFT_,REBTUSED,REBT_SED
20212,04424594,2,0,1,800,D,03,D,2800,D,2,D,3,D
20212,04424604,2,0,1,800,D,02,D,2800,D,2,D,1,D
20212,04424634,3,0,1,150,D,13,D,60,D,,A,,A
20212,04424634,4,0,1,150,D,03,D,250,D,,A,,A
20212,04424634,5,0,1,800,D,01,D,600,D,2,D,3,D
20212,04424674,2,0,1,150,D,13,D,50,D,,A,,A
20212,04424674,3,0,1,800,D,03,D,600,D,2,D,1,D
20212,04424714,2,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04424714,3,0,1,800,D,02,D,600,D,1,D,1,D
20212,04424754,3,0,1,800,D,02,D,4200,D,2,D,3,D
20212,04424784,4,0,1,800,D,01,D,600,D,2,D,3,D
20212,04424874,3,0,1,800,D,01,D,2800,D,2,D,2,D
20212,04424904,2,0,1,150,D,03,D,2500,D,,A,,A
20212,04424904,3,0,1,160,D,03,D,200,D,,A,,A
20212,04424904,4,0,1,800,D,03,D,406,D,2,D,1,D
20212,04424914,2,0,1,160,D,13,D,20,D,,A,,A
20212,04424964,7,0,1,170,D,13,D,110,D,,A,,A
20212,04424964,8,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04424974,3,0,1,130,D,13,D,50,D,,A,,A
20212,04424984,5,0,1,170,D,02,D,237,D,,A,,A
20212,04424984,6,0,1,150,D,13,D,800,D,,A,,A
20212,04424984,7,0,1,160,D,13,D,500,D,,A,,A
20212,04424984,8,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04424984,9,0,1,800,D,03,D,1400,D,2,D,1,D
20212,04425024,2,0,1,160,D,13,D,20,D,,A,,A
20212,04425024,3,0,1,800,D,03,D,2800,D,2,D,1,D
20212,04425034,9,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04425034,10,0,1,800,D,01,D,600,D,2,D,1,D
20212,04425134,2,0,1,170,D,13,D,300,D,,A,,A
20212,04425134,3,0,1,150,D,13,D,400,D,,A,,A
20212,04425134,4,0,1,800,D,03,D,1400,D,2,D,3,D
20212,04425134,5,0,1,800,D,02,D,1200,D,2,D,1,D
20212,04425154,2,0,1,160,D,01,D,20,D,,A,,A
