QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20221,04844783,41,0,1,1,D,,A,200,D,,A,,A,,A,,A,,A,,A,300,D,,A
20221,04844923,39,0,1,4,D,474,D,25,D,20,D,,A,,A,,A,,A,,A,52,D,25,D
20221,04845153,21,0,1,1,D,258,D,,A,,A,,A,,A,,A,,A,,A,60,D,,A
20221,04845493,24,0,1,10,D,2000,D,100,D,,A,,A,,A,,A,,A,,A,700,D,,A
20221,04850053,39,0,1,4,D,40,D,,A,,A,100,D,,A,,A,,A,,A,300,D,,A
20221,04896962,27,0,1,7,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,90,F
20221,04897032,60,0,1,3,D,450,D,150,D,,A,35,D,,A,,A,,A,,A,400,D,,A
20221,04901262,11,0,1,4,D,345,D,,A,,A,,A,,A,,A,,A,,A,200,D,160,D
20221,04901582,14,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,250,D,,A
20221,04902762,20,0,1,1,D,104,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20221,04906452,34,0,1,1,D,120,D,20,F,,A,,A,,A,,A,,A,,A,30,F,,A
20221,04911112,49,0,1,4,D,1000,G,,A,,A,,A,2,D,1,D,2,D,2,D,,A,,A
20221,04912082,26,0,1,2,D,100,D,50,D,,A,,A,,A,,A,,A,,A,50,D,40,D
20221,04912662,45,0,1,1,D,180,D,50,D,,A,,A,,A,,A,,A,,A,80,D,,A
20221,04916112,17,0,1,3,D,210,D,60,D,,A,,A,,A,,A,,A,,A,140,D,,A
20221,04916342,24,0,1,4,D,,A,,A,,A,,A,2,D,1,D,2,D,2,D,,A,,A
20221,04918512,15,0,1,2,D,300,D,50,D,,A,,A,,A,,A,,A,,A,250,D,,A
20221,04922782,47,0,1,2,D,75,D,20,D,,A,,A,,A,,A,,A,,A,30,D,,A
20221,04923302,30,0,1,3,D,340,D,,A,,A,,A,,A,,A,,A,,A,100,F,,A
20221,04928812,32,0,1,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,45,D,,A
20221,04928852,28,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,100,D,50,D
20221,04929532,25,0,1,2,D,170,G,9,G,20,D,120,D,1,D,1,D,2,D,2,D,236,G,30,D
20221,04933591,36,0,1,2,D,200,D,,A,,A,200,D,,A,,A,,A,,A,60,D,20,D
20221,04933611,19,0,1,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20221,04933621,33,0,1,3,D,285,D,20,D,,A,100,D,,A,,A,,A,,A,130,D,,A
20221,04933801,29,0,1,15,D,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20221,04934731,16,0,1,1,D,275,D,50,F,,A,,A,,A,,A,,A,,A,50,F,,A
20221,04935051,14,0,1,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20221,04938371,19,0,1,2,D,250,D,100,D,,A,750,D,,A,,A,,A,,A,300,D,3,F
20221,04939852,14,0,1,1,D,77,D,,A,,A,,A,,A,,A,,A,,A,100,D,3,D
20221,04941051,20,0,1,3,D,900,D,25,D,,A,,A,,A,,A,,A,,A,225,D,,A
20221,04941661,20,0,1,1,D,84,D,,A,,A,,A,,A,,A,,A,,A,18,D,,A
20221,04942611,62,0,1,4,D,250,D,15,D,,A,40,D,,A,,A,,A,,A,85,D,50,D
20221,04942771,9,0,1,2,D,409,G,,A,,A,191,G,2,D,1,D,1,D,2,D,100,D,400,F
20221,04943691,13,0,1,1,D,223,G,45,G,,A,65,G,1,D,1,D,1,D,2,D,167,G,,A
20221,04949081,11,0,1,18,D,,A,19,D,,A,,A,,A,,A,,A,,A,54,D,400,D
20221,04950571,14,0,1,4,D,,A,,A,,A,300,D,,A,,A,,A,,A,,A,,A
20221,04953921,13,0,1,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20221,04956561,19,0,1,1,D,,A,25,D,,A,,A,,A,,A,,A,,A,75,D,,A
20221,04956941,29,0,1,1,D,289,D,30,D,,A,,A,,A,,A,,A,,A,170,D,90,D
20221,04957981,22,0,1,3,D,595,D,,A,,A,,A,,A,,A,,A,,A,505,D,,A
20221,04958071,12,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20221,04960341,28,0,1,1,D,125,D,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20221,04960351,22,0,1,1,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20221,04961551,9,0,1,2,D,250,D,,A,,A,,A,,A,,A,,A,,A,50,D,50,D
