QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20191,04073111,33,0,1,11,D,70,D,,A,70,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073131,49,0,1,10,D,250,D,,A,,H,500,D,1,D,2,D,370,D,100,D,,A,,A,,A,,A,,A,,A,,A
20191,04073131,49,1,1,10,D,,B,,A,206,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073131,49,2,1,10,D,,B,,A,44,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073131,50,0,1,10,D,220,D,,A,220,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073131,51,0,1,10,D,60,D,,A,60,D,160,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073131,52,0,1,12,D,925,D,,A,925,D,360,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073131,53,0,1,12,D,185,D,,A,185,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073161,31,0,1,11,D,60,D,,A,60,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073181,25,0,1,10,D,214,D,,A,214,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073191,81,0,1,10,D,200,D,,A,200,D,360,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073191,82,0,1,12,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073191,83,0,1,11,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20191,04073191,84,0,1,12,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
