QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20222,04832724,8,0,2,170,D,02,D,45,D
20222,04832734,2,0,1,160,D,03,D,100,D
20222,04832764,2,0,1,160,D,03,D,200,D
20222,04832764,3,0,1,160,D,04,D,200,D
20222,04832784,2,0,1,150,D,13,D,100,D
20222,04832814,5,0,1,170,D,04,D,50,D
20222,04832884,2,0,1,160,D,13,D,100,D
20222,04832924,7,0,2,130,D,02,D,12,D
20222,04832954,4,0,1,170,D,03,D,200,D
20222,04832954,5,0,1,160,D,13,D,50,D
20222,04832954,6,0,1,160,D,04,D,150,D
20222,04832974,3,0,1,170,D,13,D,5,D
20222,04833024,7,0,1,170,D,13,D,1000,D
20222,04833024,8,0,1,170,D,03,D,600,D
20222,04833044,3,0,1,170,D,13,D,200,D
20222,04833104,4,0,1,170,D,13,D,50,D
20222,04833134,2,0,1,110,D,13,D,600,D
20222,04833224,5,0,1,150,D,13,D,400,D
20222,04833244,2,0,1,150,D,13,D,15,D
20222,04833244,3,0,1,150,D,03,D,30,D
20222,04833244,4,0,2,100,D,02,D,25,D
20222,04833434,3,0,1,170,D,04,D,25,D
20222,04833544,3,0,1,150,D,13,D,200,D
20222,04833654,3,0,1,170,D,13,D,150,D
20222,04833714,2,0,1,150,D,13,D,254,F
20222,04833724,2,0,1,150,D,03,D,60,D
20222,04833804,4,0,1,160,D,02,D,74,D
20222,04833824,4,0,1,170,D,04,D,55,D
20222,04833854,2,0,1,160,D,04,D,18,D
20222,04833874,3,0,1,150,D,13,D,20,D
20222,04833924,2,0,1,150,D,13,D,100,D
20222,04833984,8,0,1,160,D,02,D,300,D
20222,04834084,5,0,1,100,D,13,D,40,D
20222,04834084,6,0,1,150,D,13,D,500,D
20222,04834084,7,0,1,140,D,13,D,20,D
20222,04834084,8,0,1,160,D,13,D,20,D
20222,04834104,2,0,1,170,D,13,D,50,D
20222,04834104,3,0,1,130,D,13,D,10,D
20222,04834104,4,0,1,140,D,13,D,15,D
20222,04834174,2,0,1,160,D,13,D,65,D
20222,04834214,5,0,1,170,D,04,D,325,D
20222,04834304,4,0,1,150,D,13,D,80,D
20222,04834394,3,0,1,160,D,03,D,25,D
20222,04834434,3,0,1,160,D,13,D,60,D
20222,04834464,4,0,1,170,D,04,D,100,D
20222,04834464,5,0,1,160,D,13,D,50,D
20222,04834464,6,0,1,160,D,04,D,50,D
20222,04834504,2,0,1,130,D,03,D,100,D
20222,04834504,3,0,1,150,D,13,D,200,D
20222,04834524,3,0,1,110,D,13,D,580,D
20222,04834604,3,0,1,150,D,13,D,200,D
20222,04834604,4,0,1,160,D,13,D,75,D
20222,04834634,3,0,1,160,D,02,D,25,D
20222,04834754,2,0,1,160,D,13,D,80,D
20222,04834804,3,0,1,150,D,13,D,100,D
20222,04834824,4,0,1,150,D,13,D,50,D
20222,04834824,5,0,2,170,D,02,D,30,D
20222,04834874,4,0,1,160,D,04,D,20,D
20222,04834934,2,0,1,170,D,02,D,35,D
20222,04834934,3,0,1,170,D,03,D,85,D
20222,04834934,4,0,1,150,D,13,D,460,D
20222,04834984,3,0,1,140,D,03,D,900,D
20222,04834984,4,0,1,150,D,13,D,90,D
