QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20222,04824694,43,0,2,100,D,1,D,,A,01,D,,A,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04824724,5,0,1,300,D,1,D,2,D,13,D,,A,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825184,11,0,1,310,D,1,D,,A,01,D,,A,3800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825184,12,0,1,300,D,1,D,1,D,01,D,,A,3500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825184,13,0,1,355,D,1,D,1,D,01,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825184,14,0,1,320,D,1,D,,A,01,D,,A,2200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825254,7,0,1,345,D,1,D,,A,01,D,,A,96,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825364,6,0,1,100,D,1,D,,A,01,D,,A,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825374,4,0,1,100,D,1,D,,A,03,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825434,10,0,1,355,D,1,D,1,D,01,D,11,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825784,3,0,1,100,D,1,D,,A,13,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825794,5,0,1,300,D,1,D,1,D,01,D,,A,4000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825794,6,0,2,300,D,1,D,1,D,01,D,,A,10000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825824,5,0,1,200,D,1,D,,A,13,D,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825844,6,0,1,100,D,1,D,,A,13,D,,A,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825844,7,0,1,100,D,1,D,,A,13,D,,A,320,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825844,8,0,1,360,D,1,D,1,D,02,D,,A,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825844,9,0,1,360,D,1,D,2,D,03,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04825924,2,0,1,200,D,1,D,,A,13,D,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826294,3,0,1,358,D,1,D,,A,02,D,,A,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826294,4,0,2,355,D,1,D,1,D,01,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826384,4,0,1,345,D,1,D,,A,03,D,,A,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04826544,7,0,1,200,D,1,D,,A,13,D,,A,1257,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04827234,5,0,1,100,D,1,D,,A,02,D,,A,87,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04827234,6,0,1,100,D,1,D,,A,03,D,,A,87,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04827414,6,0,1,360,D,1,D,2,D,02,D,,A,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04827614,4,0,1,358,D,1,D,,A,04,D,,A,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828394,11,0,1,100,D,1,D,,A,13,D,,A,753,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828394,12,0,1,100,D,1,D,,A,13,D,,A,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04828934,4,0,1,100,D,1,D,,A,03,D,,A,315,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829054,7,0,1,100,D,1,D,,A,13,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829054,8,0,1,100,D,1,D,,A,03,D,,A,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829054,9,0,1,300,D,1,D,6,D,02,D,,A,1208,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829054,10,0,1,300,D,1,D,6,D,04,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829054,11,0,1,300,D,1,D,4,D,13,D,,A,920,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829094,4,0,1,300,D,1,D,1,D,04,D,100,D,860,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829094,5,0,2,300,D,1,D,1,D,02,D,960,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829094,6,0,2,355,D,1,D,1,D,02,D,,A,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829914,9,0,1,100,D,1,D,,A,13,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829914,10,0,1,100,D,1,D,,A,13,D,,A,165,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829914,11,0,1,100,D,1,D,,A,13,D,,A,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04829914,12,0,1,200,D,1,D,,A,13,D,,A,224,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830054,2,0,1,300,D,1,D,1,D,04,D,,A,16000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830054,3,0,1,355,D,1,D,1,D,04,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830424,10,0,1,100,D,1,D,,A,13,D,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830894,4,0,1,300,D,1,D,4,D,13,D,,A,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830894,5,0,1,200,D,1,D,,A,13,D,,A,112,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04830994,3,0,1,300,D,1,D,1,D,13,D,,A,650,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831324,3,0,1,200,D,1,D,,A,02,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831324,4,0,1,200,D,1,D,,A,03,D,,A,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831324,5,0,1,200,D,1,D,,A,04,D,,A,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831514,11,0,1,380,D,1,D,1,D,04,D,,A,,H,310,D,320,D,360,D,300,D,,A,,A,,A,,A,,A
20222,04831514,11,1,1,310,D,1,D,1,D,04,D,,A,1772,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831514,11,2,1,320,D,1,D,1,D,04,D,,A,643,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831514,11,3,1,360,D,1,D,1,D,04,D,,A,178,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831514,11,4,1,300,D,1,D,1,D,04,D,,A,1769,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831514,12,0,1,380,D,1,D,1,D,04,D,,A,,H,360,D,300,D,,A,,A,,A,,A,,A,,A,,A
20222,04831514,12,1,1,360,D,1,D,1,D,04,D,,A,8,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831514,12,2,1,300,D,1,D,1,D,04,D,,A,82,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831764,5,0,1,200,D,1,D,,A,13,D,,A,1620,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831874,6,0,1,340,D,1,D,,A,13,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04831874,7,0,1,358,D,1,D,,A,03,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832314,4,0,1,300,D,1,D,1,D,13,D,,A,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832314,5,0,1,100,D,1,D,,A,13,D,,A,827,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832454,6,0,1,300,D,1,D,6,D,13,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832724,15,0,1,100,D,1,D,,A,13,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832814,6,0,1,100,D,1,D,,A,02,D,,A,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832814,7,0,1,100,D,1,D,,A,04,D,,A,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832814,8,0,1,360,D,1,D,2,D,03,D,,A,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832814,9,0,1,360,D,1,D,2,D,03,D,,A,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04832814,10,0,2,100,D,1,D,,A,02,D,,A,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833424,4,0,1,355,D,1,D,1,D,03,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833564,5,0,1,200,D,1,D,,A,02,D,,A,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833804,5,0,1,100,D,1,D,,A,04,D,,A,266,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04833984,9,0,1,200,D,1,D,,A,13,D,,A,237,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834174,3,0,1,100,D,1,D,,A,13,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834214,6,0,1,360,D,1,D,2,D,13,D,,A,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834214,7,0,1,100,D,1,D,,A,13,D,,A,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834504,7,0,1,100,D,1,D,,A,13,D,,A,106,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834504,8,0,1,200,D,1,D,,A,13,D,,A,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834804,4,0,1,300,D,1,D,2,D,02,D,,A,385,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834804,5,0,1,300,D,1,D,2,D,04,D,,A,385,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04834804,6,0,1,358,D,1,D,,A,04,D,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
