QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20222,05035151,32,1,1,420,D,03,D,200,E,,A,,A,,A,,A
20222,05035371,25,0,1,430,D,05,D,,H,405,D,415,D,,A,,A
20222,05035371,25,1,1,405,D,05,D,34,E,,A,,A,,A,,A
20222,05035371,25,2,1,420,D,05,D,59,E,,A,,A,,A,,A
20222,05035371,26,0,1,430,D,05,D,,H,405,D,415,D,,A,,A
20222,05035371,26,1,1,405,D,05,D,40,E,,A,,A,,A,,A
20222,05035371,26,2,1,420,D,05,D,67,E,,A,,A,,A,,A
20222,05035471,38,0,1,420,D,05,D,85,D,,A,,A,,A,,A
20222,05035481,28,0,1,430,D,05,D,,H,410,D,405,D,415,D,,A
20222,05035481,28,1,1,410,D,05,D,30,E,,A,,A,,A,,A
20222,05035481,28,2,1,405,D,05,D,243,E,,A,,A,,A,,A
20222,05035481,28,3,1,420,D,05,D,40,E,,A,,A,,A,,A
20222,05035731,24,0,1,420,D,04,D,120,D,,A,,A,,A,,A
20222,05035731,25,0,1,420,D,04,D,75,D,,A,,A,,A,,A
20222,05035771,25,0,1,430,D,05,D,,H,410,D,415,D,405,D,,A
20222,05035771,25,1,1,410,D,05,D,9,E,,A,,A,,A,,A
20222,05035771,25,2,1,420,D,05,D,13,E,,A,,A,,A,,A
20222,05035771,25,3,1,405,D,05,D,80,E,,A,,A,,A,,A
20222,05035821,20,0,1,410,D,03,D,30,D,,A,,A,,A,,A
20222,05035821,21,0,1,420,D,03,D,90,D,,A,,A,,A,,A
20222,05035921,21,0,1,420,D,04,D,250,D,,A,,A,,A,,A
20222,05035951,35,0,1,405,D,03,D,1025,D,,A,,A,,A,,A
20222,05036031,13,0,1,420,D,05,D,350,F,,A,,A,,A,,A
20222,05036201,29,0,1,410,D,04,D,65,D,,A,,A,,A,,A
20222,05036241,20,0,1,410,D,04,D,250,D,,A,,A,,A,,A
