QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20231,05015114,24,0,5,01,D,100,D,,A,3,D,,B,1972,D,,A,,A,,A,5200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015124,54,0,5,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,6500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015134,18,0,5,01,D,100,D,,A,3,D,,B,1996,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015244,23,0,5,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,3100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015284,21,0,5,01,D,100,D,,A,3,D,,B,2008,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015294,19,0,5,01,D,100,D,,A,3,D,,B,2007,D,,A,,A,,A,310,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015364,13,0,5,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,4800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015374,26,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,3800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015434,10,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,3700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015494,8,0,5,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015554,22,0,5,01,D,100,D,,A,3,D,07,D,2022,D,,C,,C,,C,3400,F,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20231,05015574,16,0,5,01,D,100,D,,A,3,D,,B,2011,D,,A,,A,,A,1600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015594,13,0,1,01,D,100,D,,A,3,D,,B,1975,D,,A,,A,,A,18825,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015594,14,0,1,02,D,400,D,,A,3,D,,B,2010,D,,A,,A,,A,400,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20231,05015644,22,0,5,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,2400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015664,27,0,5,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,1400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015704,22,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,10500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015704,23,0,5,02,D,300,D,,A,3,D,,B,2019,D,,A,,A,,A,9000,D,2,D,,A,,A,,A,1,D,1,D,,A,,A,,A
20231,05015734,14,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015764,22,0,5,01,D,100,D,,A,3,D,,B,1971,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015774,20,0,5,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05015854,10,0,5,01,D,100,D,,A,3,D,,B,2008,D,,A,,A,,A,10000,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20231,05015884,15,0,5,01,D,100,D,,A,3,D,03,D,2022,D,420000,D,126000,D,10300,D,1400,D,,A,,A,,A,,A,2,D,,A,2,D,2,D,,A
20231,05015954,17,0,5,01,D,100,D,,A,3,D,,B,1983,D,,A,,A,,A,8400,D,,A,,A,,A,,A,2,D,,A,,A,1,D,,A
20231,05015994,34,0,5,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,4600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016034,21,0,5,01,D,100,D,,A,1,D,,B,1997,D,,A,,A,,A,2800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016054,7,0,5,01,D,100,D,,A,3,D,,B,,C,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016074,24,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,6500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016084,18,0,1,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,1600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016094,25,0,5,01,D,100,D,,A,3,D,,B,1979,D,,A,,A,,A,2100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016134,43,0,5,01,D,100,D,,A,3,D,,B,1990,D,,A,,A,,A,7200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016154,24,0,5,01,D,100,D,,A,3,D,,B,1996,D,,A,,A,,A,6800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016154,25,0,5,02,D,200,D,,A,1,D,,B,2002,D,,A,,A,,A,2100,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20231,05016264,27,0,5,01,D,100,D,,A,3,D,,B,1983,D,,A,,A,,A,3200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016364,14,0,5,01,D,100,D,,A,3,D,,B,1982,D,,A,,A,,A,600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016414,30,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016574,16,0,5,01,D,100,D,,A,3,D,,B,1990,D,,A,,A,,A,3400,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016604,63,0,5,01,D,100,D,,A,3,D,,B,1993,D,,A,,A,,A,11000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016604,64,0,5,02,D,300,D,,A,3,D,,B,2016,D,,A,,A,,A,140,D,1,D,2,D,2,D,,A,,A,,A,,A,,A,1,D
20231,05016604,65,0,5,03,D,300,D,,A,1,D,10,D,2021,D,,A,,A,,A,1800,D,1,D,1,D,2,D,,A,,A,,A,,A,,A,1,D
20231,05016604,66,0,1,04,D,300,D,,A,1,D,11,D,2022,D,95000,D,0,D,1246,D,2200,F,1,D,2,D,2,D,,A,,A,,A,2,D,,A,1,D
20231,05016664,28,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,10600,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20231,05016694,9,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,2400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016724,18,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,1100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016734,11,0,5,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016774,21,0,5,01,D,100,D,,A,3,D,,B,1977,D,,A,,A,,A,2900,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016864,8,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,3000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016874,13,0,5,01,D,100,D,,A,3,D,,B,2016,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05016874,14,0,5,02,D,300,D,,A,1,D,,B,1998,D,,A,,A,,A,290,F,1,D,1,D,2,D,,A,,A,,A,,A,,A,1,D
20231,05016994,18,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,4400,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017024,17,0,5,01,D,100,D,,A,3,D,,B,1993,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017044,31,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,6500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017064,23,0,1,01,D,300,D,,A,3,D,,B,2013,D,,A,,A,,A,4000,F,2,D,,A,,A,,A,1,D,1,D,,A,,A,,A
20231,05017194,14,0,5,01,D,100,D,,A,1,D,,B,2016,D,,A,,A,,A,2600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017224,20,0,5,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,2600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017234,60,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,2600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017244,19,0,5,01,D,100,D,,A,3,D,,B,2000,D,,A,,A,,A,1400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017354,16,0,5,01,D,100,D,,A,3,D,,B,2007,D,,A,,A,,A,480,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017414,28,0,5,01,D,100,D,,A,3,D,,B,1992,D,,A,,A,,A,5400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20231,05017414,29,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20231,05017414,30,0,5,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20231,05017414,31,0,5,04,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20231,05017414,32,0,5,05,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20231,05017414,33,0,5,06,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20231,05017414,34,0,5,07,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20231,05017414,35,0,5,08,D,300,D,,A,3,D,,B,2019,D,,A,,A,,A,5200,D,2,D,,A,,A,,A,1,D,0,D,,A,,A,,A
20231,05017414,36,0,5,09,D,300,D,,A,1,D,,B,2008,D,,A,,A,,A,100,D,1,D,1,D,2,D,,A,,A,,A,,A,,A,1,D
20231,05017414,37,0,5,10,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20231,05017434,26,0,5,01,D,100,D,,A,3,D,04,D,2021,D,,A,,A,,A,4700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
