ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,2,D,,A,,A,2,D,1,D,,A,,A,3,,2,2,A,D,D,D,,,A,A,1,,A,D,2,D,,A,04816724,2,D,2,D,,A,,A,,A,HHP,5,1,9,,A,20222
0,,A,,A,,A,2,D,2,D,,A,,A,4,1,,1,D,D,A,D,04,9,D,D,,,A,A,,A,,A,04816724,,A,,A,,A,,A,27,D,HHP,1,1,10,4,D,20222
0,,A,1,D,,A,3,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,51,D,D,1,,A,D,,A,,A,04816784,,A,,A,,A,,A,332,D,HHP,5,1,8,1,D,20222
0,,A,1,D,,A,3,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,17,D,D,1,,A,D,,A,,A,04816784,,A,,A,,A,,A,111,D,HHP,5,1,9,4,D,20222
0,2,D,1,D,,A,3,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,329,D,D,1,,A,D,1,D,,A,04816784,1,D,,A,,A,,A,2139,D,HHP,5,1,10,,A,20222
0,2,D,1,D,,A,1,D,2,D,,A,1,D,1,,,,C,D,A,C,02,,D,C,1,,A,D,,A,,A,04816914,1,D,,A,,A,,A,260,F,HHP,5,1,6,,A,20222
0,,A,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,31,D,D,1,,A,D,,A,,A,04816984,,A,,A,,A,,A,93,D,HHP,5,1,5,1,D,20222
0,,A,1,D,,A,1,D,1,D,,A,1,D,2,2,,1,D,D,A,D,04,31,D,D,1,,A,D,,A,,A,04816984,,A,,A,,A,,A,93,D,HHP,5,1,6,4,D,20222
0,2,D,,A,,A,1,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,04816994,1,D,,A,,A,,A,,A,HHP,5,1,9,,A,20222
0,2,D,,A,,A,1,D,2,D,,A,,A,3,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,04817024,1,D,,A,,A,,A,,A,HHP,5,1,7,,A,20222
0,,A,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,,D,C,1,,A,D,,A,,A,04817034,,A,,A,,A,,A,52,F,HHP,5,1,4,1,D,20222
0,,A,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,42,D,D,1,,A,D,,A,,A,04817034,,A,,A,,A,,A,273,D,HHP,5,1,5,4,D,20222
0,2,D,1,D,,A,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,,D,C,1,,A,D,,A,,A,04817034,1,D,,A,,A,,A,660,F,HHP,5,1,6,,A,20222
0,2,D,1,D,,A,4,D,2,D,,A,1,D,1,2,,1,D,D,A,D,04,350,D,D,1,,A,D,,A,,A,04817054,1,D,,A,,A,,A,1050,D,HHP,5,1,3,,A,20222
0,,A,,A,,A,4,D,2,D,,A,,A,2,1,,1,D,D,A,D,02,14,D,D,,,A,A,,A,,A,04817054,,A,,A,,A,,A,91,D,HHP,1,1,4,1,D,20222
0,,A,,A,,A,4,D,2,D,,A,,A,3,1,,1,D,D,A,D,02,2,D,D,,,A,A,,A,,A,04817054,,A,,A,,A,,A,13,D,HHP,1,1,5,4,D,20222
0,,A,,A,,A,1,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,2,,A,D,,A,,A,04817064,,A,,A,,A,,A,,A,HHP,5,1,6,4,D,20222
0,2,D,1,D,,A,1,D,2,D,,A,1,D,2,2,,1,D,D,A,D,04,200,D,D,1,,A,D,2,D,,A,04817064,2,D,,A,,A,,A,600,D,HHP,5,1,7,,A,20222
0,2,D,,A,,A,2,D,3,D,,A,,A,3,2,,1,D,D,A,D,06,377,D,D,,,A,A,2,D,,A,04817064,2,D,2,D,,A,,A,377,D,HHP,1,1,8,,A,20222
0,2,D,2,D,2,D,1,D,1,D,,A,,A,4,2,,1,D,D,A,D,,,A,A,1,,A,D,2,D,2,D,04817064,,A,2,D,,A,2,D,,A,HHP,1,1,16,2,D,20222
0,2,D,1,D,,A,2,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,534,D,D,1,,A,D,2,D,,A,04817114,2,D,2,D,,A,,A,1602,D,HHP,5,1,8,,A,20222
0,2,D,2,D,,A,1,D,1,D,,A,,A,2,2,,1,D,D,A,D,04,,D,A,2,,A,D,2,D,,A,04817114,2,D,2,D,,A,,A,,A,HHP,5,1,9,,A,20222
0,2,D,,A,,A,1,D,1,D,,A,,A,3,2,,1,D,D,A,D,04,444,D,D,,,A,A,2,D,,A,04817114,2,D,2,D,,A,,A,1332,D,HHP,1,1,10,,A,20222
0,2,D,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,67,D,D,1,,A,D,2,D,,A,04817134,2,D,,A,,A,,A,201,D,HHP,5,1,3,,A,20222
0,2,D,,A,1,D,2,D,2,D,,A,,A,1,1,,1,D,D,A,D,02,165,D,D,,,A,A,2,D,,A,04817274,2,D,,A,,A,,A,1073,D,HHP,1,1,7,,A,20222
0,,A,1,D,,A,4,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,119,D,D,1,,A,D,,A,,A,04817294,,A,,A,,A,,A,357,D,HHP,5,1,8,1,D,20222
0,,A,1,D,,A,4,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,6,D,D,1,,A,D,,A,,A,04817294,,A,,A,,A,,A,18,D,HHP,5,1,9,4,D,20222
0,2,D,1,D,,A,4,D,2,D,,A,1,D,3,1,,1,D,D,A,D,04,1499,D,D,1,,A,D,2,D,,A,04817294,2,D,,A,,A,,A,4497,D,HHP,5,1,10,,A,20222
0,2,D,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,180,D,D,1,1,D,D,,A,,A,04817344,1,D,1,D,3,D,1,D,540,D,HHP,5,1,5,,A,20222
0,2,D,1,D,,A,2,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,55,D,D,1,1,D,D,,A,,A,04817354,1,D,1,D,3,D,1,D,165,D,HHP,5,1,3,,A,20222
0,2,D,,A,,A,1,D,2,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,04817354,1,D,,A,,A,,A,,A,HHP,5,1,4,,A,20222
0,,A,,A,,A,2,D,2,D,,A,,A,1,1,,1,D,D,A,D,02,,D,C,,,A,A,,A,,A,04817364,,A,,A,,A,,A,750,F,HHP,1,1,3,1,D,20222
0,2,D,,A,,A,2,D,2,D,,A,,A,2,1,,1,D,D,A,D,02,,D,C,,,A,A,,A,,A,04817364,1,D,,A,,A,,A,1500,F,HHP,1,1,4,,A,20222
0,,A,1,D,,A,3,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,54,D,D,1,,A,D,,A,,A,04817404,,A,,A,,A,,A,162,D,HHP,5,1,4,1,D,20222
0,,A,1,D,,A,3,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,23,D,D,1,,A,D,,A,,A,04817404,,A,,A,,A,,A,69,D,HHP,5,1,5,4,D,20222
0,2,D,1,D,1,D,3,D,2,D,,A,1,D,3,1,,1,D,D,A,D,04,309,D,D,1,,A,D,2,D,,A,04817404,2,D,,A,,A,,A,927,D,HHP,5,1,6,,A,20222
0,,A,2,D,,A,1,D,1,D,,A,,A,1,2,,1,D,D,A,D,09,,D,A,1,,A,D,,A,,A,04817464,,A,,A,,A,,A,,A,HHP,5,1,8,1,D,20222
0,2,D,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,01,37,D,D,1,,A,D,2,D,,A,04817464,2,D,,A,,A,,A,481,D,HHP,5,1,9,,A,20222
0,,C,1,D,1,D,1,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,121,D,D,1,,A,D,,C,,A,04817464,2,D,,A,,A,,A,787,D,HHP,5,1,10,,A,20222
0,2,D,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,287,D,D,1,,A,D,,A,,A,04817474,1,D,2,D,,A,,A,861,D,HHP,5,1,4,,A,20222
0,,A,1,D,,A,2,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,15,D,D,1,,A,D,,A,,A,04817494,,A,,A,,A,,A,45,D,HHP,5,1,6,3,D,20222
0,1,D,1,D,1,D,2,D,1,D,,A,1,D,2,2,,1,D,D,A,D,06,1100,D,D,1,,A,D,,A,,A,04817494,1,D,2,D,,A,,A,1100,D,HHP,5,1,7,,A,20222
0,2,D,1,D,1,D,4,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,250,D,D,1,,A,D,2,D,,A,04817634,2,D,,A,,A,,A,1625,D,HHP,5,1,5,,A,20222
0,2,D,1,D,1,D,1,D,3,D,,A,1,D,1,2,,1,D,D,A,D,04,800,D,D,1,,A,D,1,D,,A,04817654,2,D,2,D,,A,,A,2400,D,HHP,5,1,5,,A,20222
0,2,D,1,D,,A,1,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,500,D,D,1,,A,D,1,D,,A,04817654,2,D,,A,,A,,A,1500,D,HHP,5,1,6,,A,20222
0,2,D,1,D,,A,3,D,1,D,,A,1,D,1,2,,1,D,D,A,D,06,63,D,D,1,,A,D,2,D,,A,04817674,2,D,2,D,,A,,A,63,D,HHP,5,1,7,,A,20222
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,52,D,D,1,,A,D,2,D,,A,04817684,2,D,,A,,A,,A,338,D,HHP,5,1,11,,A,20222
0,2,D,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,344,D,D,1,,A,D,2,D,,A,04817714,2,D,2,D,,A,,A,1032,D,HHP,5,1,5,,A,20222
0,2,D,,A,1,D,6,D,2,D,,A,,A,1,1,,1,D,D,A,D,04,,D,C,,,A,A,1,D,,A,04817754,2,D,,A,,A,,A,702,F,HHP,1,1,9,,A,20222
0,2,D,1,D,,A,1,D,1,D,,A,1,D,1,2,,1,D,D,A,D,04,700,D,D,1,1,D,D,2,D,,A,04817774,2,D,1,D,2,D,1,D,2100,D,HHP,5,1,9,,A,20222
0,,A,1,D,,A,1,D,1,D,,A,,A,2,2,,1,D,D,A,D,04,50,D,D,1,,A,D,,A,,A,04817774,,A,,A,,A,,A,150,D,HHP,5,1,10,1,D,20222
0,2,D,,A,1,D,1,D,1,D,,A,,A,1,,2,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,04817844,1,D,2,D,,A,,A,,A,HHP,5,1,3,,A,20222
0,2,D,1,D,1,D,4,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,295,D,D,1,,A,D,2,D,,A,04817864,2,D,,A,,A,,A,1918,D,HHP,5,1,9,,A,20222
0,,A,1,D,,A,4,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,16,D,D,1,,A,D,,A,,A,04817874,,A,,A,,A,,A,104,D,HHP,5,1,7,1,D,20222
