QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20222,05033841,13,0,1,01,D,100,D,.0504,D,240000,D,30,D,1545,D,3,D,4,D,,A,,A,251,D,552,D,555,D,557,D,668,D,665,D,663,D,,A,01,D,2009,D,1,D,,A,176606,D,176054,D,175499,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05033921,11,0,1,01,D,100,D,.0469,D,205000,D,30,D,1400,D,3,D,4,D,5,D,,A,338,D,454,D,456,D,457,D,608,D,606,D,605,D,,A,04,D,2010,D,1,D,,A,155620,D,155166,D,154711,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05034101,17,0,1,01,D,100,D,.0365,D,250000,D,30,D,1550,D,3,D,4,D,,A,,A,406,D,546,D,547,D,549,D,598,D,597,D,595,D,,A,06,D,2012,D,1,D,,A,196740,D,196194,D,195647,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05034201,31,0,1,01,D,100,D,.0450,D,151000,D,10,D,2006,D,,B,,B,,B,,B,441,D,1002,D,1006,D,1010,D,563,D,559,D,555,D,,A,01,D,2022,D,1,D,,A,150001,D,148999,D,147993,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05034201,32,0,1,02,D,300,D,.0398,F,230965,F,30,F,1100,F,,A,,A,,A,,A,0,F,471,F,473,F,474,F,629,F,627,F,626,F,,A,05,F,2013,F,1,F,,A,189571,F,189100,F,188627,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05034221,13,0,1,01,D,100,D,.0365,D,375000,D,30,D,2759,D,3,D,4,D,,A,,A,1044,D,790,D,793,D,795,D,888,D,885,D,883,D,,A,10,D,2012,D,2,D,,A,298429,D,297621,D,296811,D,01,D,,C,,C,,C,2218,D,2218,D,2218,D,1,D,2,D,2,D
20222,05034421,8,0,1,01,D,100,D,.0400,D,167569,D,30,D,1183,D,3,D,4,D,,A,,A,383,D,668,D,671,D,673,D,132,D,129,D,127,D,,A,09,D,1996,D,1,D,,A,39475,D,38807,D,38136,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20222,05034431,8,0,1,01,D,100,D,.0365,D,380000,D,15,D,4007,D,3,D,,A,,A,,A,1262,D,2520,T,2530,T,2542,T,821,D,815,D,809,D,,A,12,D,2016,D,1,D,,A,269831,D,267907,D,265976,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20222,05034511,26,0,1,01,D,100,D,.0296,F,80000,F,30,F,336,F,,A,,A,,A,,A,0,F,140,F,141,F,141,F,196,F,195,F,195,F,,A,10,F,2021,F,2,F,,A,79303,F,79163,F,79022,F,01,D,,A,,A,,A,125,F,125,F,125,F,1,D,2,D,1,D
20222,05034531,15,0,1,01,D,100,D,.0296,D,380000,D,30,D,2400,D,3,D,4,D,,A,,A,806,D,663,D,665,D,666,D,931,D,929,D,928,D,,A,11,D,2021,D,1,D,,A,377364,D,376700,D,376036,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
