QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPFLUDX,VOPF_UDX,VOPPARKX,VOPP_RKX,VOPTOWX,VOPTOWX_,VOPDOCKX,VOPD_CKX,VOPPLCYX,VOPP_CYX,TANKGASX,TANK_ASX,JGASOXQV,JGAS_XQV,JDIESXQV,JDIE_XQV,VOPCLUBX,VOPC_UBX,VOPTOLLX,VOPT_LLX,VOPOILX,VOPOILX_,JELEXQV,JELEXQV_,JETHXQV,JETHXQV_,QADELEX,QADELEX_,QADETHX,QADETHX_,QELEDDZ,QELEDDZ_,VOPELBPR,VOPELBS,VOPELBS_,VOPELEC,VOPELECX,VOPELEC_,VOPETH,VOPETHX,VOPETHX_,VOPETH_,VOPE_BPR,VOPE_ECX
20222,04819154,74,0,1,,A,35,D,,A,,A,,A,,A,219,D,,A,,A,56,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819174,41,0,1,,A,90,D,,A,,A,,A,,A,180,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819204,39,0,1,,A,,A,,A,,A,100,F,,A,900,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819244,33,0,1,,A,,A,,A,,A,,A,,A,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819284,24,0,1,,A,,A,,A,,A,,A,,A,1275,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819324,22,0,1,,A,,A,,A,,A,,A,,A,270,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819394,56,0,1,,A,,A,,A,,A,,A,,A,1200,D,,A,,A,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819414,19,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819454,55,0,1,,A,,A,,A,,A,,A,,A,180,D,,A,,A,5,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819494,26,0,1,,A,,A,,A,,A,,A,,A,750,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819514,23,0,1,,A,,A,,A,,A,,A,,A,195,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819534,26,0,1,,A,,A,,A,,A,,A,,A,960,D,,A,,A,90,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819544,22,0,1,,A,,A,,A,,A,,A,,A,180,D,,A,59,D,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819554,27,0,1,,A,135,D,,A,,A,,A,,A,600,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819584,25,0,1,,A,,A,,A,,A,,A,,A,480,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819604,22,0,1,,A,,A,,A,,A,,A,,A,210,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819614,9,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819634,29,0,1,,A,,A,,A,,A,,A,,A,900,D,,A,,A,,A,35,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
20222,04819644,24,0,1,,A,,A,,A,,A,,A,,A,717,D,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A
