QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX
20222,04820364,1,0,1,240,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820364,2,0,1,350,D,1,D,02,D,217,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820404,1,0,1,660,D,1,D,02,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820444,2,0,1,660,D,1,D,01,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820444,3,0,1,350,D,1,D,02,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820444,4,0,1,425,D,1,D,03,D,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04820664,1,0,1,310,D,1,D,03,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820734,1,0,1,240,D,1,D,03,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820734,2,0,1,350,D,1,D,02,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820734,3,0,1,350,D,1,D,02,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820734,4,0,1,350,D,1,D,02,D,132,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820734,5,0,1,500,D,1,D,03,D,317,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820734,6,0,2,240,D,1,D,01,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820774,1,0,1,640,D,1,D,03,D,195,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04820774,2,0,1,440,D,1,D,03,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04820944,1,0,1,230,D,1,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820944,2,0,1,620,D,1,D,02,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820944,3,0,1,320,D,1,D,03,D,181,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04820944,4,0,1,320,D,1,D,03,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821114,1,0,1,460,D,1,D,01,D,489,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821114,2,0,2,240,D,1,D,01,D,128,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821124,1,0,1,365,D,2,D,,A,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04821134,1,0,1,750,D,1,D,03,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821134,2,0,1,460,D,1,D,03,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821154,1,0,1,240,D,1,D,01,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821454,1,0,1,280,D,1,D,01,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821454,2,0,1,350,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821474,1,0,1,700,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821494,1,0,1,655,D,1,D,03,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821794,1,0,1,365,D,1,D,02,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A
20222,04821864,1,0,1,660,D,1,D,03,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821884,1,0,1,230,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821914,1,0,1,240,D,1,D,02,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04821974,2,0,1,470,D,1,D,02,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822024,1,0,1,350,D,1,D,03,D,104,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20222,04822034,1,0,1,230,D,1,D,01,D,163,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
